id,positClean,companyClean,dateClean,dateCollect,descClean,skills,education,language,cityClean,stateClean,country,url,site
jk=9395d2111eec116d,ASSISTANT SCIENTIST CIENTISTA JUNIOR,Johnson   Johnson Family of Companies,2018-04-21,2018-04-24,general description execute rd activities   implementation  projects related  products materials  technologies  engineered products  existing business  support troubleshooting related  manufacturingproduction areas responsabilities support  implementation   new specifications  smp projects  guarantee adherence support plan  execute production trials  smp projects sense  urgency  needed  proactively respond  problems  opportunities proactively investigates  develops improvements  existing processes  develops new  improved processes participate  crossfunctional project teams provide critical business information  organizational leaders ability  manage complexity   work collaboratively  business partners execute laboratory analysis compile  analyze data identify causes draw conclusions  generate reportsqualificações  minimum  bachelor degree  material engineering chemical engineering biochemistry engineering chemistry  related areas  required experience  product development  consumer products   differential knowledge   field  adhesive nonwovens  fibers  desirable advanced english  required good communication skills within different areas team worklocal principal brasilsão paulosão josé  camposorganização jj brazil cargo rdrequisition id,, bachelor, english,São José dos Campos,SP,Brasil,https://www.indeed.com.br/viewjob?jk=9395d2111eec116d&fccid=0bed8e17bc113980&vjs=3,indeed
jk=4416cd4d53511c52,Data Scientist,Shopback,2018-03-25,2018-04-24,looking   data scientist selfmanaged experienced capable  coordinating  team  devs   important  must   doer handson   must   need someone  isnt worried    takes  deliver    way  going   delivered    huge flow  volume  everything must  planned  perfectly executed  like  say   like navigating  huge ship    agility   speed boat  must   good management  logic skills statistics  algorithm machine learning   rule number one    important  youre alligned  shopbacks online culture    end   day youll  evaluated      team  delivered final thing  love  pay bonuses  projects developed  time cos  must  always motivated  need    best  machine learning statistics model  analysis data mining  data model databases relational  norelational programming languages python r ruby  strong desire  grow  team  learn  solve complex problems  scale  s even better    masters  doctorate  math statistics physics  similar spark hadoop benefíciosvalerefeição  valetransporte regime  contrataçãoprestador  serviços pj horário horário flexível informações adicionais  empresa oferece pipoca todos dias happy hour toda sextafeira bônus mensal  anual, hue volume hue algorithm model model database python r ruby spark hadoop, master,,São Paulo,SP,Brasil,https://www.indeed.com.br/viewjob?jk=4416cd4d53511c52&fccid=7bf6965d650fe797&vjs=3,indeed
,NI,NI,2018-04-24,2018-04-24,ni,,,,NI,NI,Brasil,https://www.indeed.com.br/viewjob?fccid=2efc3813fbcd0299&vjs=3,indeed
jk=f650775957bc18b2,Data Scientist em São Paulo SP,NI,2018-04-14,2018-04-24,vaga  data science  trabalhar  próximo   time  walmart estados unidos   viagens eventuais  san bruno califórnia  perfil é sênior inglês fluente escrito  falado é mandatório é interessante   anuncio  vaga   inglês  candidato passará  processo seletivo  times  brasil   san bruno  vídeo conferência favor  enviar  currículos  candidatos   realizado  desafio proposto somente  desafio  nesse link,,,,São Paulo,SP,Brasil,https://www.indeed.com.br/viewjob?jk=f650775957bc18b2&fccid=ce783271e420d14a&vjs=3,indeed
jk=f94153271a4e0d77,Cientista de dados Data Scientist,Bannet,2018-03-25,2018-04-24,valorizamos  diversidade    busca  talentos   complementam   fortalecem  cultura  valores  área  data science é responsável  tratamento enriquecimento  construção  inteligência  cima  diversas bases  dados interno  externo valorizamos   capacidade  aprendizado  precisamos  alguém    experiência    candidato deve saber python django r  outras linguagens  frameworks voltados  análise  dados noções  visualização  dados noções  php bancos  dados mysql experiência  git estatística básica desejável banco  dados elasticsearch banco  dados mongodb hadoop spark machine learning api rest outros diferenciais noções  docker  implantação contínua teste  software  esperamos   candidato vá gerar inteligência estratégica   empresa  forma  dados facilitar processos  existentes  necessário aplicar sistemas  machine learning seguir procedimentos internos  padrões  programação estar disponível  agilmente resolver problemas bugs  questões  compatibilidade testar  manter  software principal  base  dados  assegurar otimização  funcionalidade estar sempre mostrando vontade  crescer   empresa  dominar  mercado trabalhar  equipe  aceitar mediocridade sempre estar focado  desenvolver  melhor plataforma inspirar  outros  ser inspirado local  trabalho centro fortaleza ceará jornada período integral manhã  tarde salário bruto  combinar vale transporte vale alimentação  refeição plano  saúde plano odontológico, valor python r php elasticsearch mongodb hadoop spark hbase value value,,,Fortaleza,CE,Brasil,https://www.indeed.com.br/viewjob?jk=f94153271a4e0d77&fccid=cec7e10ce6a8b3d4&vjs=3,indeed
jk=df8c21c748ab34dc,Head de BI Data Scientist Sênior,Gazeus Games,2018-04-10,2018-04-24,habilidades sql big data data science machine learning garantir  funcionamento   evolução  estrutura  bi  empresa monitorar  custo gerenciar  dia  dia  time  bi definir  priorizar  atividades acompanhar  desenvolvimento garantir  prazo   qualidade  entregas fazer  acompanhamento pessoal  profissional  time  bi definir cargos  salários fazer novas contratações  comunicar   demais áreas  empresa ajudar  busca  informação   solução  problemas manter  stack  ferramentas  analytics  empresa criar novas propriedades gerenciar  acesso  usuários acompanhar  evolução acompanhar  mercado   tecnologias  big data novas plataformas  ferramentas determinar  necessidade  adoção  migração liderar  esforços  bi  empresa desde  entendimento  necessidades  diferentes áreas passando  levantamento  requisitos  definição  arquitetura   entrega  solução final  gazeus games é  maior desenvolvedora brasileira  jogos casuais  sociais  fazemos jogos incríveis  através  buscamos criar laços reais   pessoas    faríamos  melhores jogos     melhor equipe  anos  história  tradição  gente trabalha   gente  diverte, sql,,,Rio de Janeiro,RJ,Brasil,https://www.indeed.com.br/viewjob?jk=df8c21c748ab34dc&fccid=943f6cb0d904f4e9&vjs=3,indeed
jk=f7f0f085b6c8211c,Data Scientist,Ambev,2018-04-10,2018-04-24,procuramos talentos  garra  brilho  olhos   juntar    jornada  exploração  análise  infinidade  dados    empresa  tamanho  ambev possui queremos encontrar insights capazes  transformar   modo  operar  várias áreas  cia  campo  copo  desafios cobrem desde áreas operacionais  suprimentos financeiro fiscal gente gestão  logística   linhas  produção  cervejarias   estratégias  vendas  contato   clientes  consumidores finais marketing  vendaspara  incentivamos  uso  aplicação  melhores   recentes algoritmos machine learningtécnicas  modelagemanálises  dados  clusterizações responsabilidades  atribuiçõeso colaborador deverá ter  seguintes responsabilides  atribuições desenvolvimento  algoritmos análises estátisticas avançadas  modelos  clusterização gerenciamento  fornecedores gerenciamento  projetos reuniões  alta diretoria  cia requisitos  qualificaçõeshard skills inglês avançado  fluente experiência  trabalho  linguagem  programação  suportam modelos estatísticos exemplo python r scala experiencia  trabalho  estudo  linguagens  manipulação  dados exemplo sqlmysql etc graduação  experiência  temas fortemente quantitativos ciência  engenharia  computação estatística física matemática genética econometria bioestatística etc  êxitos  competições   contexto  vaga desejável experiencia  ferramentas  big data exemplo hadoop hive spark  ferramenta  etl exemplo talend  preferencia pentaho informatica soft skills ambicioso   grande vontade  crescer  carreira dentro  ambevabinbev pensamento analítico  grande vontade  analisar dados  forma avançada  mudar  forma  fazemos  vendemos cerveja gostar  encontrar soluções novas  melhores  resolver problemas facilidade  aprender  curiosidade   autodidata flexibilidade   adaptar  mudanças  situações  prioridades facilidade  traduzir problemas reais  modelos matemáticos modelos estatísticos  algoritmos  viceversa, modo algoritmo algoritmo modelo modelo python r scala matemática econometria hadoop hive spark pentaho modelo modelo algoritmo,,,Jaguariúna,SP,Brasil,https://www.indeed.com.br/viewjob?jk=f7f0f085b6c8211c&fccid=0d85abf49301dae0&vjs=3,indeed
jk=7da19e81ba424f5f,Customer Facing Data Scientist,DataRobot,2018-03-25,2018-04-24,job summary customer facing data scientists work   sales team  develop client relationships  deliver data science solutions  customers across  variety  industries  will need   comfortable leading technical demonstrations  datarobot helping clients develop models  add value   organizations  integrating  models  client environments ideal candidates enjoy daytoday data science problemsolving mixed  high levels  customer interaction main requirements years  realworld business experience handson experience building  implementing predictive models strong customer interaction skills excellent organizational communication writing  interpersonal skills familiarity   variety  technical tools   manipulation  datasets banking experience   travel desired skills experience  machine learning techniques fluency  scripting python r experience  hadoop  related big data technologies, model value model model data set scripting python r hadoop,,,São Paulo,SP,Brasil,https://www.indeed.com.br/viewjob?jk=7da19e81ba424f5f&fccid=ccacdb1cb7d4a077&vjs=3,indeed
jk=eb31429cb557c8d8,Data Scientist,PoaTek IT Consulting,2018-04-16,2018-04-24,poatek   growing boutique   consulting focused  developing critical applications  international clients   always looking  meet people  love  just like   born    innovative idea  company provides  relaxed environment   chance    grow   technical career  team s number one priority   make sure  clients   best results   applications  s   need great data scientists working  us  job   help  clients make  best business decision  analyzing  vast amount  data      challenges  ll face  data scientist  poatek work   aspects   design development  delivery  machine learning enabled solutions   clients ability  come   solutions  loosely defined business problems  leveraging pattern detection  complex datasets across multiple platforms determine analytical approaches  modeling techniques  evaluate scenarios  potential future outcomes analyze  interprets data  structured  unstructed data sources   batch  streaming modes establish efficient automated processes  largescale modeling perform adhoc exploratory  explanatory analysis become part   highly skilled  geographically distributed team collaborate  peers  problem definitions data acquisition data exploration visualization  well  building  tools  support  process strong sense  ownership urgency  drive requirementsa bachelor andor master degree  statistics mathematics physics computer science   related subject strong command  statistical programming languages especially r  python model development  python machine learning recommendation engines big data hadoop work experience either integration  models   tools  hadoop   software development experience  scoping requirements design development integration testing go live  prod vs internal research work experience working  bank raw data credit card customer product realtime  batch  programming experience spark sas scala java etc   huge plus experience  working  large datasets  relational databases  highly desirable sql ability  work  distributed cloud platforms exceptional written  verbal communication  well  presentation skill curiosity   investigative profile  re  datadriven problem solver benefitsbe part   innovative consultancy model    opportunity  grow  us work  international  agile projects health insurance  meal allowance transportation  parking space flexible hours  autonomy snacks drinks  video game   office, data set mode visualization mathematica r python model python hadoop model hadoop spark sas scala java hue data set database sql cloud model, bachelor master,,Porto Alegre,RS,Brasil,https://www.indeed.com.br/viewjob?jk=eb31429cb557c8d8&fccid=5cd784149a115408&vjs=3,indeed
jk=4329b74c7b1d4800,Engenheiro de Dados Senior,Capitani,2018-03-25,2018-04-24,profissional deverá criar  automatizar  processos  tratamento  dados trabalhar dados estruturados   estruturados fornecer datasets prontos  serem usados  data scientists aplicar soluções  big data  processamento  dados  alto volume  atividades relacionadas, data set volume,,,São Paulo,SP,Brasil,https://www.indeed.com.br/viewjob?jk=4329b74c7b1d4800&fccid=0c2a9ba49271314b&vjs=3,indeed
