city,state,latitude,longitude,dup
Pularumpi, NT,-12.8, 131.130,FALSE
Rakula, NT,-12.8, 131.130,FALSE
Ramingining, NT,-12.8, 131.130,FALSE
Robin Falls, NT,-12.8, 131.130,FALSE
Rum Jungle, NT,-12.8, 131.130,FALSE
Sandpalms Roadhouse, NT,-12.8, 131.130,FALSE
Southport, NT,-12.8, 131.130,FALSE
Stapleton, NT,-12.8, 131.130,FALSE
Thamarrurr, NT,-12.8, 131.130,FALSE
Tipperary, NT,-12.8, 131.130,FALSE
Tivendale, NT,-12.8, 131.130,FALSE
Tiwi Islands, NT,-12.8, 131.130,FALSE
Tortilla Flats, NT,-12.8, 131.130,FALSE
Tumbling Waters, NT,-12.8, 131.130,FALSE
Umbakumba, NT,-12.8, 131.130,FALSE
Vernon Islands, NT,-12.8, 131.130,FALSE
Wadeye, NT,-12.8, 131.130,FALSE
Wagait Beach, NT,-12.8, 131.130,FALSE
Wak Wak, NT,-12.8, 131.130,FALSE
Warruwi, NT,-12.8, 131.130,FALSE
Weddell, NT,-12.8, 131.130,FALSE
West Arnhem, NT,-12.8, 131.130,FALSE
Wickham, NT,-12.8, 131.130,FALSE
Wishart, NT,-12.8, 131.130,FALSE
Woolaning, NT,-12.8, 131.130,FALSE
Berrimah, NT,-12.47, 130.910,FALSE
Knuckey Lagoon, NT,-12.47, 130.910,FALSE
Holtze, NT,-14.46, 132.280,FALSE
Pinelands, NT,-14.46, 132.280,FALSE
Archer, NT,-12.49, 130.970,FALSE
Driver, NT,-12.49, 130.970,FALSE
Durack, NT,-12.49, 130.970,FALSE
Farrar, NT,-12.49, 130.970,FALSE
Gray, NT,-12.49, 130.970,FALSE
Marlow Lagoon, NT,-12.49, 130.970,FALSE
Moulden, NT,-12.49, 130.970,FALSE
Palmerston, NT,-12.49, 130.970,FALSE
Shoal Bay, NT,-12.49, 130.970,FALSE
Woodroffe, NT,-12.49, 130.970,FALSE
Yarrawonga, NT,-12.49, 130.970,FALSE
Bakewell, NT,-12.49, 130.990,FALSE
Bellamack, NT,-12.49, 130.990,FALSE
Gunn, NT,-12.49, 130.990,FALSE
Johnston, NT,-12.49, 130.990,FALSE
Mitchell, NT,-12.49, 130.990,FALSE
Rosebery, NT,-12.49, 130.990,FALSE
Rosebery Heights, NT,-12.49, 130.990,FALSE
Zuccoli, NT,-12.49, 130.990,FALSE
Coolalinga, NT,-12.48, 131.030,FALSE
Howard Springs, NT,-12.48, 131.030,FALSE
Virginia, NT,-12.48, 131.030,FALSE
Girraween, NT,-12.53, 131.100,FALSE
Herbert, NT,-12.53, 131.100,FALSE
Humpty Doo, NT,-12.53, 131.100,FALSE
Manton, NT,-12.46, 130.840,FALSE
Noonamah, NT,-12.46, 130.840,FALSE
Berry Springs, NT,-12.71, 131.000,FALSE
Dundee Beach, NT,-12.72, 130.350,FALSE
Dundee Downs, NT,-12.72, 130.350,FALSE
Dundee Forest, NT,-12.72, 130.350,FALSE
Darwin River, NT,-12.8, 130.960,FALSE
Batchelor, NT,-13.04, 131.070,FALSE
Adelaide River, NT,-13.23, 131.100,FALSE
Pine Creek, NT,-13.82, 131.840,FALSE
Cossack, NT,-14.46, 132.260,FALSE
Emungalan, NT,-14.46, 132.260,FALSE
Katherine, NT,-14.46, 132.260,FALSE
Katherine East, NT,-14.46, 132.260,FALSE
Katherine South, NT,-14.46, 132.260,FALSE
Lansdowne, NT,-14.46, 132.260,FALSE
Arnold, NT,-14.92, 133.060,FALSE
Baines, NT,-14.92, 133.060,FALSE
Barunga, NT,-14.92, 133.060,FALSE
Beswick, NT,-14.92, 133.060,FALSE
