company,date,title,dateCollect,status,location,recommend,outlook,ceo,pros,cons,adviceManag,id,rating
Google,21 de Agosto de 2017,Boa empresa,2018-05-09,Consultor de Negócios (Ex-Funcionário) –  ,"Blumenau, SC",NI,NI,NI,PrósBeneficios,ContrasForma de trabalho,NI,8da318f0248dd224,5
Google,7 de Agosto de 2017,Empresa disposta a ajudar no que for necessário.,2018-05-09,Pesquisadora Junior (Ex-Funcionário) –  ,"São Paulo, SP",NI,NI,NI,PrósBrindes para quem bater meta.,Contrasnão ter horário certo de sair e/ou chegar em casa/faculdade/curso.,NI,5957c0753dba9bc5,4
Google,2 de Agosto de 2017,Ambiente diferenciado,2018-05-09,Executivo de Vendas (Ex-Funcionário) –  ,"São Paulo, SP",NI,NI,NI,PrósRefeição na empresa,ContrasNão fornece VA,NI,ff0ef5c753404615,5
Google,11 de Julho de 2017,Um Amadurecimento,2018-05-09,Analista Senior (Ex-Funcionário) –  ,"São Paulo, SP",NI,NI,NI,NI,NI,NI,679d8d21bb2a0f1b,5
Google,3 de Julho de 2017,Empresa agradável de trabalhar,2018-05-09,Estagiaria de Nutrição (Ex-Funcionário) –  ,"São Paulo, SP",NI,NI,NI,NI,NI,NI,e5a84ea45042a58f,5
Google,25 de Setembro de 2015,Empresa adecco(google maps) e agradavel,2018-05-09,MAPEADOR DE VIAS PUBLICAS (Ex-Funcionário) –  ,"Brasília, DF",NI,NI,NI,NI,NI,NI,52beafede276ed65,4
Google,24 de Junho de 2017,O Google faz um monte de promessas vagas que não costuma cumprir,2018-05-09,Curadoria de app (Funcionário Atual) –  ,"São Paulo, SP",NI,NI,NI,PrósTrabalhar de casa,ContrasAfeta sua vida pessoal,NI,a8273426e127fb1d,4
Google,20 de Junho de 2017,"Trabalho estimulante , bom clima organizacional",2018-05-09,Gerente Administrativo Financeiro (Ex-Funcionário) –  ,"Salvador, BA",NI,NI,NI,PrósAprendizado,ContrasAusência de remuneração,NI,7262f4e566302112,5
Google,23 de Maio de 2017,ótima empresa,2018-05-09,Analista de Qualidade (Ex-Funcionário) –  ,"São Paulo, SP",NI,NI,NI,Próssalario muito bom,Contrasnão fornecia vale alimentação,NI,5a52fd1c5a44b65b,5
Google,14 de Maio de 2017,E bom sermos independentes,2018-05-09,Youtuber (Funcionário Atual) –  ,Nova Iorque,NI,NI,NI,PrósIndependência,,NI,04cdf4fcf7117a05,5
Google,10 de Maio de 2017,Empresa com ambiente de trabalho agradável e dinâmica,2018-05-09,Business Inteligence na Agência 3 (Ex-Funcionário) –  ,"Rio de Janeiro, RJ",NI,NI,NI,PrósEmpresa com foco em produção de trabalho e flexível,ContrasValor de beneficio baixo,NI,321acc8a50921543,4
Google,10 de Maio de 2017,Great work culture,2018-05-09,"Manager, Rich Media & Ad Platforms Operations (Ex-Funcionário) –  ","São Paulo, BR",NI,NI,NI,NI,NI,NI,ff01fe590ef56c37,5
Google,16 de Abril de 2017,Excelente local para se trabalhar,2018-05-09,Publicitário (Ex-Funcionário) –  ,Home office,NI,NI,NI,NI,NI,NI,19a98bcffbbb8723,5
Google,30 de Março de 2017,Excelente empresa!,2018-05-09,Especialista em Android (Ex-Funcionário) –  ,"Belo Horizonte, MG",NI,NI,NI,NI,NI,NI,2853cb25f3338fb4,5
Google,23 de Março de 2017,Empresa com inúmeras possibilidades para desenvolvimento profissional e pessoal.,2018-05-09,Account Manager (Ex-Funcionário) –  ,"São Paulo, SP",NI,NI,NI,"Prósambiente, cursos, benefícios e gestão de pessoas.",,NI,fc72ebd84f9e2a13,5
Google,13 de Março de 2017,Agradável de trabalhar.,2018-05-09,VENDEDORA CEC CASA E CONSTRUÇÃO (Ex-Funcionário) –  ,"Campinas, SP",NI,NI,NI,NI,NI,NI,1f5256d76c7cdc58,5
Google,12 de Dezembro de 2016,Empresa excelente de trabalhar,2018-05-09,Mapeador de vias públicas (Ex-Funcionário) –  ,"São Paulo, SP",NI,NI,NI,NI,NI,NI,48975d240dbcf6e5,5
Google,10 de Outubro de 2016,Empresa atual,2018-05-09,Atendente de Telemarketing (Ex-Funcionário) –  ,São Paulo,NI,NI,NI,"Prósambiente agradável, bom salário",Contraso restaurante do local,NI,b33d4676e9af872d,4
Google,28 de Abril de 2016,Empresa Muito Agradável para se Trabalhar,2018-05-09,Analista de Marketing (Ex-Funcionário) –  ,"São Paulo, SP",NI,NI,NI,,ContrasVale refeição não é muito bom,NI,e17da7e00ef4d2a9,4
Google,22 de Março de 2016,Trabalho foi excelente mesmo que temporário,2018-05-09,Walker (Ex-Funcionário) –  ,"Rio de Janeiro, RJ",NI,NI,NI,Prósbeneficios,Contrassem planos de saúde e alimentação,NI,311d96e99d097442,4
Google,16 de Fevereiro de 2016,Empresa agradável de se trabalhar,2018-05-09,Desk Manager Software (Ex-Funcionário) –  ,"Poá, SP",NI,NI,NI,PrósAmbiente agradável,,NI,30e4dce5a8aaf236,4
Google,18 de Novembro de 2015,Ambiente de trabalho agradável,2018-05-09,Front Desk (Temporário) (Ex-Funcionário) –  ,"Belo Horizonte, MG",NI,NI,NI,PrósRefeição na empresa,,NI,e819990cdddde95d,5
Google,10 de Novembro de 2015,Empresa Dinamica e divertida de trabalhar,2018-05-09,Coordenador de Operações Latam (Ex-Funcionário) –  ,"São Paulo, SP",NI,NI,NI,PrósRefeição da Empresa,ContrasNão há.,NI,5c40e3d145a134cf,5
Google,24 de Outubro de 2015,Empresa dinâmica e Agrádavel,2018-05-09,Assistente Administrativo (Ex-Funcionário) –  ,"São Paulo, SP",NI,NI,NI,NI,NI,NI,e244d05eeec7cc90,4
Google,27 de Agosto de 2015,Empresa com ótimo ambiente de Trabalho,2018-05-09,Analista de Operações Facilities (Ex-Funcionário) –  ,"São Paulo, SP",NI,NI,NI,PrósAlimentação excelente,ContrasContrato Temporário sem chance de efetivar,NI,d2a4522821091c57,5
Google,18 de Julho de 2015,Great place to work,2018-05-09,Head of Industry (Funcionário Atual) –  ,"São Paulo, SP",NI,NI,NI,NI,NI,NI,fa270c38a0b0dce6,5
